Wordnet name , Name index , is object counts , is part counts , ADE names , Attributes , Has parts , Is part of 
shade,2311,3,5066,shade,"lamp, off, opaque, porous, porouse, table, tanslucent, tranlucent, tranparent, translucemt, translucen, translucenet, translucent, translucet, translucnet, translucsnet, translucsnt, transparent, traslucent, trasnlucent, trasnparent, trasnslucent","arm, bulb, highlight","ceiling recessed light, ceiling spotlight, chandelier, pendant, pendent, clamp lamp, clamp spotlight, desk lamp, fan, floor lamp, fluorescent, fluorescent fixture, flush mount light, light troffer, pendant lamp, sconce, semi-flush mount light, table lamp, torchiere lamp, wall recessed light, wall spotlight"
knob,1380,3,5033,knob,"glass, meta, metal, metla, netal, painted wood, pointed wood, wood","muntin, plants","door, drawer, folding door, shutter, table, wardrobe, closet, press"
wheel,3035,195,4300,wheel,"ships wheel, spare, spare tire, tire, wood",rim,"armchair, base, bed, belt loader, bicycle, bike, wheel, cycle, bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle, cabinet, car scrapping, car, auto, automobile, machine, motorcar, caravan, carriage, cart, container, forklift, fountain, golf cart, landing gear, leg, legs, mechanical shovel, minibike, motorbike, ottoman, pouf, pouffe, puff, hassock, plaything, toy, shelf, steam shovel, storage rack, swivel chair, table, tractor, trolley table, truck, motortruck, van, wheelbarrow"
pane,1746,0,4463,pane,"glas, glass, glasse","beacon, lighthouse, beacon light, pharos, booth, cubicle, stall, kiosk, bow window, buffet, counter, sideboard, building, edifice, coffee table, cocktail table, confessional booth, door, double door, elevator, lift, lower sash, sash, shop window, side, skylight, fanlight, skyscraper, special shape, tower, upper sash, wall, watchtower, window, windowpane, window",
arm,54,0,4012,arm,"fabric, leather, metal, mounted, painted wicker, painted wood, panel, pillow, support, vinyl, wicker, wodd, wood","arm, arm panel, arm support, armrest, inside arm, manchette, outside arm","arm, armchair, backplate, bench, ceiling spotlight, chair, chandelier, pendant, pendent, clamp lamp, clamp spotlight, deck chair, beach chair, desk lamp, floor lamp, hairdresser chair, hairdressers chair, light bulb, lightbulb, bulb, incandescent lamp, electric light, electric-light bulb, mill, pendant lamp, rocking chair, rocker, sconce, seat, shade, sofa, couch, lounge, streetlight, street lamp, swivel chair, table lamp, throne, torchiere lamp, wall spotlight, windmill, aerogenerator, wind generator"
back,83,0,3290,back,"acrylic, fabric, frabric, leather, metal, mounted, painted wicker, painted wood, pillow, plastic, upholstered, vinyl, vynil, wicker, wod, wood","back, back pillow, leg, rail, spindle, stile","armchair, back, bench, bookcase, cabinet, chair, deck chair, beach chair, desk, hairdresser chair, kitchen island, ottoman, pouf, pouffe, puff, hassock, person, individual, someone, somebody, mortal, soul, rocking chair, rocker, seat, shelf, sofa bed, sofa, couch, lounge, stool, swivel chair, table, throne, wardrobe, closet, press"
head,1206,0,3287,head,,"beard, ear, eat, eye, eyebrow, hair, horn, mouth, mustache, nose","animal, animate being, beast, brute, creature, fauna, barrel, cask, person, individual, someone, somebody, mortal, soul"
column,580,0,3124,column,"cropo, cylindrical, cylingdrical, metal, square, wood","base, capital, shaft","acropolis, bandstand, bridge, span, building, edifice, cabinet, chest of drawers, chest, bureau, dresser, desk lamp, floor lamp, gas station, house, kitchen island, mosque, pendant lamp, sconce, service station, streetlight, street lamp, table lamp, torchiere lamp, tower, wardrobe, closet, press, window"
highlight,1238,0,3094,highlight,,"ceiling recessed light, ceiling spotlight, chandelier, pendant, pendent, clamp lamp, desk lamp, floor lamp, floor recessed light, fluorescent, fluorescent fixture, flush mount light, light bulb, lightbulb, bulb, incandescent lamp, electric light, electric-light bulb, light source, light troffer, pendant lamp, sconce, semi-flush mount light, shade, table lamp, torchiere lamp, wall recessed light, wall spotlight",
seat cushion,2276,1,2410,seat cushion,"faabric, fabbric, fabic, fabric, fabrid, leaather, leather, mounted, upholstered, vinyl, wood","armchair, chair, ottoman, pouf, pouffe, puff, hassock, rocking chair, rocker, seat, sofa bed, sofa, couch, lounge, stool, swivel chair",
balcony,101,28,2120,balcony,covered,"balustrade, door, double door, railing, shutter, shutters, window","building, edifice, house, mosque, skyscraper, tower"
rim,2122,4,2035,rim,,"car, auto, automobile, machine, motorcar, truck, motortruck, wheel",
base,136,34,1920,base,"metal, painted wood, wood","buttons, leg, screen, wheel","bed, bookcase, bottle, bowl, cabinet, chair, chest of drawers, chest, bureau, dresser, clock, coffee table, cocktail table, column, column, pillar, computer, computing machine, computing device, data processor, electronic computer, information processing system, console table, console, desk, desk lamp, floor lamp, glass, drinking glass, hairdressers chair, mirror, mug, ottoman, pouf, pouffe, puff, hassock, pitcher, ewer, pool table, billiard table, snooker table, sculpture, shelf, stool, streetlight, street lamp, swivel chair, table, table lamp, teacup, telephone, phone, telephone set, television receiver, television, television set, tv, tv set, idiot box, boob tube, telly, goggle box, torchiere lamp, vase, wardrobe, closet, press"
back pillow,86,0,1903,back pillow,"back, faabric, fabric, fabrid, frabric, leather, mounted, upholstered, vinyl, wood","armchair, back, chair, seat, sofa, couch, lounge, swivel chair",
right arm,2117,0,1825,right arm,,"person, individual, someone, somebody, mortal, soul",
eye,884,0,1760,eye,,"animal, animate being, beast, brute, creature, fauna, head, person, individual, someone, somebody, mortal, soul",
left arm,1428,0,1741,left arm,,"person, individual, someone, somebody, mortal, soul",
left leg,1431,0,1611,left leg,,"person, individual, someone, somebody, mortal, soul",
right leg,2120,0,1574,right leg,,"person, individual, someone, somebody, mortal, soul",
top,2814,2,1526,top,"fabric, glass, leather, marble, painated wood, painted wood, stove, woo, wood",ceiling recessed light,"bench, bookcase, buffet, counter, sideboard, cabinet, chest of drawers, chest, bureau, dresser, coffee table, cocktail table, console table, console, counter, desk, kitchen island, microwave, microwave oven, oven, pantry, refrigerator, icebox, shelf, sink, table, wardrobe, closet, press"
headlight,1213,0,1524,headlight,,"bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle, car, auto, automobile, machine, motorcar, subway, train, railroad train, tramway, truck, motortruck, van",
license plate,1439,0,1474,license plate,,"bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle, car, auto, automobile, machine, motorcar, minibike, motorbike, truck, motortruck, van",
taillight,2700,0,1457,taillight,,"bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle, car, auto, automobile, machine, motorcar, caravan, minibike, motorbike, tree, truck, motortruck, van",
rail,2051,0,1410,rail,"fabric, leather, metal, painted wood, vinyl, wood",sill,"back, bed, bench, boat, cabinet, chair, door, fence, fencing, lower sash, pool table, billiard table, snooker table, railing, sash, scaffolding, staging, skylight, fanlight, sofa, couch, lounge, upper sash, window, windowpane, window"
faucet,895,0,1318,faucet,"metal, shower","bathtub, bathing tub, bath, tub, bidet, fountain, hot tub, pitcher, ewer, pool, sink, urinal",
stile,2578,0,1229,stile,"metal, painted wood, paited wood, wicker, woo, wood","armchair, back, bench, chair, door, lower sash, rocking chair, rocker, sash, upper sash, window, windowpane, window",
headboard,1212,9,1197,headboard,"fabric, leather, metal, painted wood, upholsterec, upholstered, uphostered, vinyl, wicker, wood, woodd, wrought iron","bed, drawer","bed, car, auto, automobile, machine, motorcar, cradle"
muntin,1625,0,1171,muntin,,"door, double door, knob, lower sash, sash, upper sash, window, windowpane, window",
inside arm,1329,0,1133,inside arm,"faabric, fabric, leather, lether, mounted, painted wood, vinyl, wicker, wood","arm panel, inside arm, manchette","arm, inside arm, sofa bed, sofa, couch, lounge"
shutter,2370,122,1005,"metal shutter, shutter",,"hinge, knob","balcony, building, edifice, dollhouse, double door, house, window, windowpane, window"
roof,2155,33,1072,roof,"clay tile, outdoor, pinnacle, slat, slate, slated, slates, slatr, snowy, thacht, thatch, tile","eaves, gable, gutter, hip tiles, leave, rakes, ride tiles, ridge liles, ridge tiles","bandstand, barn, beacon, lighthouse, beacon light, pharos, booth, cubicle, stall, kiosk, building, edifice, canopy, carousel, climbing frame, dormer, gazebo, house, hovel, hut, hutch, shack, shanty, kennel, service station, shed, shelter, temple, window"
apron,42,4,1072,apron,"metal, painted wood, plastic, wicker, wooc, wood",drawer,"armchair, bench, cabinet, chair, chest of drawers, chest, bureau, dresser, coffee table, cocktail table, console table, console, desk, hairdresser chair, hairdressers chair, kitchen island, ottoman, pouf, pouffe, puff, hassock, pool table, billiard table, snooker table, rocking chair, rocker, shelf, sofa, couch, lounge, stool, swivel chair, table"
windshield,3057,0,1051,windshield,,"mirror, window","bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle, car, auto, automobile, machine, motorcar, train, railroad train, tramway, truck, motortruck, van"
mouth,1615,0,1021,mouth,,"teeth, tongue","head, person, individual, someone, somebody, mortal, soul"
right hand,2119,0,954,right hand,boxing glove,"finger, nail","person, individual, someone, somebody, mortal, soul"
frame,1024,25,892,frame,"ceramic, metal, photo, wood",button,"chest of drawers, chest, bureau, dresser, clock, map, mirror, painting, picture, television receiver, television, television set, tv, tv set, idiot box, boob tube, telly, goggle box"
seat base,2273,1,865,seat base,"faabric, fabric, fabrid, leather, mounted, wicker, wood",drawer,"armchair, chair, deck chair, beach chair, ottoman, pouf, pouffe, puff, hassock, rocking chair, rocker, sofa bed, sofa, couch, lounge, stool"
dial,730,11,817,dial,,"air conditioner, air conditioning, button panel, buttons panel, console, door, hotplate, microwave, microwave oven, oven, spice rack, stove, stove, kitchen stove, range, kitchen range, cooking stove, switch, electric switch, electrical switch, system, toaster, tumble dryer, washer, automatic washer, washing machine",
screen,2250,0,826,screen,"time, tlime","base, button panel, clock, console, control panel, instrument panel, control board, board, panel, door, instrument panel, laptop, laptop computer, microwave, microwave oven, monitor, monitor, monitoring device, monitors, oven, receiver, slot machine, coin machine, solt machine, stove, kitchen stove, range, kitchen range, cooking stove, telephone, phone, telephone set, television receiver, television, television set, tv, tv set, idiot box, boob tube, telly, goggle box, washer, automatic washer, washing machine",
left hand,1430,0,819,left hand,boxing glove,"person, individual, someone, somebody, mortal, soul",
shop window,2346,0,756,shop window,,pane,"building, edifice"
door frame,776,0,728,door frame,painted wood,"building, edifice, doble door, door, double door, elevator door, folding door, house, pilot cockpit, windowpane, window",
gaze,1086,0,725,gaze,,"person, individual, someone, somebody, mortal, soul",
bumper,320,1,718,bumper,,"bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle, car, auto, automobile, machine, motorcar, truck, motortruck, van",
railing,2052,0,694,railing,"divider, metal, wood","post, rail","balcony, beacon, lighthouse, beacon light, pharos, boat, bridge, span, building arena, building, edifice, footbridge, overcrossing, pedestrian bridge, gangway, house, mezzanine, first balcony, playground, ship, staircase, tower, wall, window"
outside arm,1707,0,692,outside arm,"fabric, leather, mounted, vinyl, wicker, wood","arm, sofa, couch, lounge",
chimney,495,90,574,chimney,industrial,"beacon, lighthouse, beacon light, pharos, building, edifice, factory, greenhouse, house, hovel, hut, hutch, shack, shanty, shelter",
aperture,36,0,627,aperture,,"ceiling recessed light, ceiling spotlight, clamp spotlight, desk lamp, floor lamp, flush mount light, pendant lamp, table lamp, wall recessed light, wall spotlight",
torso,2820,0,604,torso,,"person, individual, someone, somebody, mortal, soul",
skirt,2411,48,515,skirt,"fabric, painted wicker, painted wood, wicker, wood","armchair, bed, bookcase, buffet, counter, sideboard, cabinet, chair, chest of drawers, chest, bureau, dresser, coffee table, cocktail table, console table, console, counter, desk, dishwasher, dish washer, dishwashing machine, drawer, hood, exhaust hood, kitchen island, ottoman, pouf, pouffe, puff, hassock, pool table, billiard table, snooker table, shelf, sofa, couch, lounge, stool, stove, kitchen stove, range, kitchen range, cooking stove, table, wardrobe, closet, press",
left foot,1429,0,561,left foot,,"person, individual, someone, somebody, mortal, soul",
side,2372,3,558,side,"fabric, metal, painted wood, saferty, wood","drawer, handle, outlet, pane","bed, berth, bookcase, buffet, counter, sideboard, cabinet, chest, chest of drawers, chest, bureau, dresser, clock, coffee table, cocktail table, counter, cradle, desk, door, drawer, kitchen island, microwave, microwave oven, ottoman, pouf, pouffe, puff, hassock, refrigerator, icebox, shelf, sofa, couch, lounge, stove, kitchen stove, range, kitchen range, cooking stove, table, toaster, wardrobe, closet, press, washer, automatic washer, washing machine"
blade,203,0,548,blade,,"fan, helicopter, mill, propeller, windmill, aerogenerator, wind generator",
footboard,1012,0,545,footboard,"fabric, leather, metal, painted wood, upholstered, whought iron, wood, wrought iron","bed, cradle",
right foot,2118,0,540,right foot,,"person, individual, someone, somebody, mortal, soul",
keyboard,1370,101,412,keyboard,,keys,"compueter, computer, computing machine, computing device, data processor, electronic computer, information processing system, equipment, laptop, laptop computer, receiver, telephone, phone, telephone set"
diffusor,733,0,512,diffusor,,"fluorescent, fluorescent fixture, flush mount light, light troffer, light, light source, sconce, semi-flush mount light, wall recessed light",
canopy,389,77,431,canopy,canvas,"curtain, door, roof, sign","bed, ceiling recessed light, chandelier, pendant, pendent, fan, flush mount light, light troffer, pendant lamp, semi-flush mount light"
spindle,2499,1,495,spindle,"painted wood, wood","back, bed, chair",
front,1031,0,479,front,"metal, painted  wood, painted wood, wood",lock,"bookcase, buffet, counter, sideboard, cabinet, chest, chest of drawers, chest, bureau, dresser, coffee table, cocktail table, counter, desk, door, drawer, kitchen island, microwave, microwave oven, refrigerator, icebox, shelf, stove, kitchen stove, range, kitchen range, cooking stove, table, toaster, wardrobe, closet, press, washer, automatic washer, washing machine"
monitor,1582,0,470,monitor,side,"screem, screen","chair, compueter, computer console, computer, computing machine, computing device, data processor, electronic computer, information processing system, monitor, monitoring device"
stretcher,2617,40,392,stretcher,"metal, painted wood, pointed wood, wood","armchair, bench, chair, desk, rocking chair, rocker, sofa, couch, lounge, stool, table",
bulb,313,0,416,bulb,"accent, direct, off, on, punctual",light source,"ceiling recessed light, ceiling spotlight, chandelier, pendant, pendent, desk lamp, floor lamp, flush mount light, pendant lamp, sconce, semi-flush mount light, shade, table lamp, wall recessed light, wall spotlight"
hinge,1247,0,405,hinge,,"cold storage, door, pantry, shelf, shutter, windowpane, window",
backplate,92,0,404,backplate,opaque,arm,"ceiling spotlight, fluorescent, fluorescent fixture, flush mount light, light troffer, pendant lamp, sconce, semi-flush mount light, wall recessed light, wall spotlight"
ear,831,34,370,ear,,"animal, animate being, beast, brute, creature, fauna, head, person, individual, someone, somebody, mortal, soul",
button panel,341,0,376,button panel,,"button, buttons, clock, detergent dispenser, dial, display, handle, screen","dishwasher, dish washer, dishwashing machine, door, microwave, microwave oven, oven, refrigerator, icebox, stove, kitchen stove, range, kitchen range, cooking stove, washer, automatic washer, washing machine, washing machines"
lid,1441,8,364,"lid, tank lid",wood,"bidet, bottle, chest, coffee maker, cooker, kettle, boiler, piano, pianoforte, forte-piano, pitcher, ewer, pot, saucepan, teapot, toilet, can, commode, crapper, pot, potty, stool, throne, tureen",
crosswalk,665,0,365,crosswalk,,"road, road, route",
arm panel,55,0,335,arm panel,"fabic, fabric, leather, mounted, wood","arm, inside arm",
hand,1174,0,329,hand,"hour, hours, minute, minutes, seconds","clock, face, person, individual, someone, somebody, mortal, soul",
windows,3056,0,328,windows,,"sash, shutter","building, edifice, fuselage, house"
tube,2886,0,325,tube,,"ceiling spotlight, chair, chandelier, pendant, pendent, desk lamp, fan, floor lamp, pendant lamp, sconce, table lamp, torchiere lamp",
sash,2224,0,321,sash,anwing,"blind, handle, latch, muntin, pane, panel, rail, sash, sash lock, slide, stile","sash, window, windowpane, window, windows"
dormer,781,0,316,dormer,,"roof, window","building, edifice, house"
nose,1659,0,313,nose,,head,
hair,1160,1,301,hair,"blonde, gray","head, person, individual, someone, somebody, mortal, soul",
burner,324,3,297,burner,,"stove, stove, kitchen stove, range, kitchen range, cooking stove",
cloud,543,11,281,"cloud, clouds",,sky,
corner pocket,625,0,291,corner pocket,,"pool table, billiard table, snooker table",
arm support,56,0,289,arm support,"leather, metal, painted wood, wood","arm, deck chair, beach chair, hairdresser chair, hairdressers chair, swivel chair",
stove,2597,0,272,stove,,"burner, dial, grill","kitchen island, stove, kitchen stove, range, kitchen range, cooking stove"
chain,468,45,217,chain,,"chandelier, pendant, pendent, pendant lamp",
cistern,518,0,246,cistern,"talk, tank, tsnk","flusher, tank lid","toilet, can, commode, crapper, pot, potty, stool, throne"
computer case,589,0,237,computer case,tower,"computer, computing machine, computing device, data processor, electronic computer, information processing system",
metal shutter,1540,0,232,metal shutter,,"building, edifice, house, shed",
mouse,1611,0,231,mouse,,"compueter, computer, computing machine, computing device, data processor, electronic computer, information processing system",
cord,618,0,230,cord,,"chandelier, pendant, pendent, desk lamp, fluorescent, fluorescent fixture, pendant lamp, semi-flush mount light, telephone, phone, telephone set",
opening,1690,0,224,opening,,"basin, bottle, bowl, glass, drinking glass, mug, pitcher, ewer, teacup, vase",
shaft,2312,0,220,shaft,,"column, column, pillar",
capital,396,0,215,capital,,"column, column, pillar",
neck,1646,0,208,neck,,"bottle, person, individual, someone, somebody, mortal, soul, vase",
lower sash,1476,0,204,lower sash,,"muntin, pane, panel, rail, side jamb, slide, stile","window, windowpane, window"
tap,2708,0,197,tap,"cold, hot, metal","bathtub, bathing tub, bath, tub, bidet, sink",
dome,772,31,159,dome,,"building, edifice, mosque, tower",
face,890,0,189,face,,hand,"clock, grandfather clock, thermometer"
upper sash,2911,0,181,upper sash,,"casing, muntin, pane, rail, slide, stile","window, windowpane, window"
step,2567,0,168,step,,"riser, tread","building, edifice, escalator, moving staircase, moving stairway, stairs, steps, stairway, staircase"
housing,1279,0,166,housing,,"light, visor","streetlight, street lamp, traffic light, traffic signal, stoplight"
riser,2127,0,149,riser,,tread,"escalator, moving staircase, moving stairway, stairs, steps, step, step, stair"
side pocket,2374,0,149,side pocket,,"pool table, billiard table, snooker table",
balustrade,112,0,141,balustrade,,handrail,"balcony, building, edifice, escalator, moving staircase, moving stairway, house, tower"
tread,2852,0,141,tread,,"escalator, moving staircase, moving stairway, riser, stairs, steps, step, step, stair, wall",
lock,1461,13,126,lock,metal,"cold storage, desk, door, double door, drawer, front, garage door",
pipe,1882,0,138,pipe,,"building, edifice, house, sink, toilet, can, commode, crapper, pot, potty, stool, throne",
landing gear,1403,0,135,landing gear,,"landing gear, wheel","airplane, aeroplane, plane, helicopter, landing gear"
casing,423,0,129,casing,"exterior, interior, interior wood","house, upper sash, window, windowpane, window",
buttons,342,0,128,buttons,,"alarm clock, alarm, base, body, button panel, coffee maker, console, control panel, instrument panel, control board, board, panel, dishwasher, dish washer, dishwashing machine, door, hood, exhaust hood, microwave, microwave, microwave oven, partition, divider, piano, pianoforte, forte-piano, receiver, telephone, phone, telephone set, television receiver, television, television set, tv, tv set, idiot box, boob tube, telly, goggle box, washer, automatic washer, washing machine",
stem,2566,0,115,stem,,"glass, drinking glass",
earmuffs,832,0,110,earmuffs,"fabric, leather, wood","armchair, sofa, couch, lounge",
entrance,859,0,109,entrance,,"building, edifice, tent, collapsible shelter",
side rail,2375,0,107,side rail,"painted wood, wood",bed,
trunk,2884,0,105,trunk,,"palm, palm tree, tree",
panel,1748,16,88,panel,"glass, painted wood, wood","cabinet, door, kitchen island, lower sash, sash, window",
stabilizer,2523,0,101,stabilizer,"horizontal, vertica, vertical","airplane, aeroplane, plane, helicopter",
sill,2381,7,87,sill,"exterior, interior, wood",door,"rail, skylight, fanlight, window, windowpane, window"
speaker,2487,0,92,speaker,,"computer, computing machine, computing device, data processor, electronic computer, information processing system, system, television receiver, television, television set, tv, tv set, idiot box, boob tube, telly, goggle box",
clouds,544,0,91,clouds,,sky,
grille,1140,0,88,grille,,"air conditioner, air conditioning, booth, cubicle, stall, kiosk, building, edifice, henhouse, house, kennel, machine",
garage door,1062,0,84,garage door,,"lock, window","building, edifice, house"
fire escape,938,0,77,fire escape,,"building, edifice",
gas cap,1072,2,74,gas cap,,"car, auto, automobile, machine, motorcar",
receiver,2080,0,75,receiver,,"buttons, keyboard, screen","telephone, phone, telephone set"
wing,3060,0,73,wing,,"airplane, aeroplane, plane",
armrest,59,0,72,armrest,leather,"arm, seat, swivel chair",
pedestal,1804,0,72,pedestal,"ceramic, metal, wood","chair, coffee table, cocktail table, sink, stool, table, toilet, can, commode, crapper, pot, potty, stool, throne",
manchette,1493,0,71,manchette,"fabric, frabric","arm, inside arm",
steps,2570,0,70,steps,"movil, moving","bandstand, building, edifice, escalator, moving staircase, moving stairway, gazebo, house, playground",
motor,1600,11,56,motor,,fan,
fuselage,1051,0,66,fuselage,,"cockpit, door, window, windows","airplane, aeroplane, plane, helicopter, propeller"
piston,1889,0,63,piston,,"hairdresser chair, hairdressers chair, swivel chair",
flusher,983,1,59,flusher,"button, leve, level, lever","cistern, toilet, can, commode, crapper, pot, potty, stool, throne",
branch,277,20,39,branch,,tree,
bedpost,169,0,58,bedpost,wood,bed,
keys,1371,0,58,keys,"black, blak, white","grand piano, grand, keyboard, piano, pianoforte, forte-piano, telephone, phone, telephone set, television receiver, television, television set, tv, tv set, idiot box, boob tube, telly, goggle box",
metal shutters,1541,7,48,metal shutters,,"building, edifice",
turbine engine,2893,0,55,turbine engine,,"airplane, aeroplane, plane",
lights,1454,0,51,lights,,carousel,
sail,2199,12,39,sail,"jib, mainsail","sailboat, sailing boat",
vent,2940,0,51,vent,,"building, edifice, hood, exhaust hood, microwave, microwave oven, refrigerator, icebox",
terrace,2742,0,49,terrace,,"door, double door","building, edifice"
label,1384,0,45,label,,"bottle, jar",
cockpit,559,3,41,cockpit,,window,"airplane, aeroplane, plane, fuselage, helicopter"
wiper,3063,0,44,wiper,,"bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle, car, auto, automobile, machine, motorcar, van, window",
arcades,50,0,43,arcades,,"building, edifice",
ice maker,1299,0,42,ice maker,,door,
wave,3020,0,42,wave,,sea,
sash lock,2225,0,41,sash lock,,"sash, windowpane, window",
h-stretcher,1159,0,39,h-stretcher,"painted wood, wicker, wood","armchair, chair, sofa, couch, lounge, table",
tank lid,2702,0,39,tank lid,,cistern,
body,225,1,37,body,painted wood,buttons,"hood, exhaust hood"
button,339,0,34,button,door release,"box, button panel, coffee maker, cushion, door, frame, hood, exhaust hood, microwave, microwave oven, oven, washer, automatic washer, washing machine, washing machines",
handrail,1183,0,34,handrail,"movil, moving","amphitheater, amphitheatre, coliseum, balustrade, bannister, banister, balustrade, balusters, handrail, building arena, building, edifice, escalator, moving staircase, moving stairway, hot tub, staircase",
drain,784,16,16,drain,metal,"bathtub, bathing tub, bath, tub, bidet, bowl, sink",
logo,1470,8,24,logo,mercedes,"bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle, car, auto, automobile, machine, motorcar, heater, warmer, toaster, truck, motortruck",
model,1576,6,23,model,"bear, bird, fish, horse, house, shark, tiger",carousel,
sign,2379,0,29,sign,,"arcade machine, building, edifice, canopy, car, auto, automobile, machine, motorcar, carousel, ceiling, escalator, moving staircase, moving stairway, gas station, structure, van",
rakes,2071,0,27,rakes,,"house, roof",
revolving door,2103,8,18,revolving door,,"building, edifice",
head rail,1209,0,25,head rail,,"bed, blind, screen, blinds",
sockets,2470,0,25,sockets,,"wall socket, wall plug, electric outlet, electrical outlet, outlet, electric receptacle",
staircase,2529,0,25,staircase,,"handrail, railing","building arena, building, edifice, house"
display,752,0,24,display,"time, tine","button panel, coffee maker, door, microwave, microwave, microwave oven",
doors,779,0,24,doors,"folding, slidings","building, edifice, house, train, railroad train",
fender,909,1,23,fender,,"boat, car, auto, automobile, machine, motorcar, van",
tissue,2779,5,18,tissue,,box,
visor,2967,0,22,visor,,"housing, traffic light, traffic signal, stoplight",
candle,375,0,21,candle,,"candelabrum, candelabra, candlestick, candle holder",
interior casing,1336,0,21,interior casing,,"beacon, lighthouse, beacon light, pharos, window, windowpane, window",
slats,2428,0,21,slats,,"blind, screen, blinds",
light bulb,1444,0,20,light bulb,,carousel,
switch,2674,0,20,switch,toggle,"console, switch, electric switch, electrical switch, wall socket, wall plug, electric outlet, electrical outlet, outlet, electric receptacle",
switches,2678,6,14,switches,,console,
bars,135,0,19,bars,,"building, edifice, window",
filter,928,0,19,filter,,"hood, exhaust hood",
hip tiles,1249,0,19,hip tiles,,"building, edifice, roof",
rung,2181,0,18,rung,,"ladder, stairway, staircase",
skylight,2421,0,18,skylight,,"building, edifice, ceiling, house",
stringer,2619,7,11,stringer,,"stairs, steps, stairway, staircase",
ball storage,106,0,17,ball storage,,"cabinet, pool table, billiard table, snooker table",
footrest,1015,1,16,footrest,"leather, metal, wood","armchair, hairdresser chair, hairdressers chair, stool, swivel chair",
lamp housing,1397,0,17,lamp housing,,"streetlight, street lamp",
propeller,2014,1,16,propeller,,"blade, fuselage","airplane, aeroplane, plane, helicopter"
roof rack,2156,4,13,roof rack,,"car, auto, automobile, machine, motorcar",
safety rail,2196,0,17,safety rail,wood,bed,
safety side,2197,0,17,safety side,,"bed, cradle",
branches,278,7,9,branches,,tree,
detergent dispenser,728,0,16,detergent dispenser,,"button panel, washer, automatic washer, washing machine",
hood,1259,1,15,hood,,"car, auto, automobile, machine, motorcar",
instrument,1330,7,9,instrument,,console,
overflot plate,1709,0,16,overflot plate,,"bathtub, bathing tub, bath, tub, sink",
right shoulder,2121,0,15,right shoulder,,"person, individual, someone, somebody, mortal, soul",
teeth,2724,0,14,teeth,,mouth,
foot rest,1006,2,11,foot rest,wood,chair,
fringe,1030,0,13,fringe,,"armchair, rug, carpet, carpeting, sofa, couch, lounge",
left shoulder,1432,0,13,left shoulder,,"person, individual, someone, somebody, mortal, soul",
waterfall,3015,0,13,waterfall,,"cliff, drop, drop-off",
hay bale,1203,2,10,hay bale,,field,
spout,2511,0,12,spout,,"kettle, boiler",
chest of drawers,3114,0,11,chest of drawers,,drawer,"closet, desk, wardrobe, closet, press"
bedspring,172,0,10,bedspring,,bed,
foot,1004,0,10,foot,wood,"console table, console, dishwasher, dish washer, dishwashing machine, microwave, microwave oven, stove, kitchen stove, range, kitchen range, cooking stove, toaster",
leaf,1418,0,10,leaf,,"plant, flora, plant life",
screw,2256,0,10,screw,,"switch, electric switch, electrical switch, wall socket, wall plug, electric outlet, electrical outlet, outlet, electric receptacle",
shutters,2371,1,9,shutters,,"balcony, building, edifice",
socket,2469,0,10,socket,,"table lamp, wall socket, wall plug, electric outlet, electrical outlet, outlet, electric receptacle",
bed side,167,0,9,bed side,,bed,
curtain,684,0,9,curtain,translucent,"canopy, caravan, stage",
fence,904,0,9,fence,,"bridge, span, building arena, building, edifice, house",
latch,1410,0,9,latch,,"door, sash",
saddle,2190,4,5,saddle,,"bicycle, bike, wheel, cycle, minibike, motorbike",
toe board,2784,0,9,toe board,,"scaffolding, staging",
arch,51,0,8,arch,,"bridge, span, building, edifice, house",
light,1443,0,8,light,red,"bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle, housing",
clamp,521,0,7,clamp,,"clamp lamp, clamp spotlight, desk lamp",
hoop,1263,0,7,hoop,,"barrel, cask",
house number,1277,1,6,house number,,"building, edifice",
leave,1423,0,7,leave,,"house, roof",
side jamb,2373,0,7,side jamb,,"lower sash, windowpane, window",
steering wheel,2564,0,7,steering wheel,,"car, auto, automobile, machine, motorcar",
blind,211,0,6,blind,"horizontal, roller","building, edifice, sash, window",
casing interior,424,1,5,casing interior,,"windowpane, window",
lattice,1412,3,3,lattice,,"building, edifice",
legs,1434,0,6,legs,metal,wheel,"chair, console table, console, seat, tennis table"
petrol pump,1836,0,6,petrol pump,,"gas station, structure",
rocker,2139,1,5,rocker,wood,"armchair, rocking chair, rocker",
cornice,626,2,3,cornice,,"building, edifice",
eyebrow,885,0,5,eyebrow,,head,
floor,972,0,5,floor,wood,"elevator, lift, footbridge, overcrossing, pedestrian bridge, gangway, gazebo",
